"",ESTADO DE SITUACIÓN FINANCIERA,,
"",CUENTA,CÓDIGO,VALOR (En USD$)
"",ACTIVO,1,2051462083.01
"",ACTIVO CORRIENTE,101,647041354.64
"",EFECTIVO Y EQUIVALENTES DE EFECTIVO,10101,15474979.89
"",CAJA,1010101,15474979.89
"",INSTITUCIONES FINANCIERAS PÚBLICAS,1010102,0.00
"",INSTITUCIONES FINANCIERAS PRIVADAS,1010103,0.00
"",ACTIVOS FINANCIEROS,10102,373195710.26
"",ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,1010201,232941089.23
"",RENTA VARIABLE,101020101,232941089.23
"",ACCIONES Y PARTICIPACIONES,10102010101,0.00
"",CUOTAS DE FONDOS COLECTIVOS,10102010102,0.00
"",VALORES DE  TITULARIZACIÓN DE PARTICIPACIÓN,10102010103,0.00
"",UNIDADES DE PARTICIPACIÓN,10102010104,0.00
"",INVERSIONES EN EL EXTERIOR,10102010105,0.00
"",OTROS,10102010106,232941089.23
"",RENTA FIJA,101020102,0.00
"",AVALES,10102010201,0.00
"",BONOS DEL ESTADO,10102010202,0.00
"",BONOS DE PRENDA,10102010203,0.00
"",CÉDULAS HIPOTECARIAS,10102010204,0.00
"",CERTIFICADOS FINANCIEROS,10102010205,0.00
"",CERTIFICADOS DE INVERSIÓN,10102010206,0.00
"",CERTIFICADOS DE TESORERÍA,10102010207,0.00
"",CERTIFICADOS DE DEPÓSITO,10102010208,0.00
"",CUPONES,10102010209,0.00
"",DEPÓSITOS A PLAZO,10102010210,0.00
"",LETRAS DE CAMBIO,10102010211,0.00
"",NOTAS DE CRÉDITO,10102010212,0.00
"",OBLIGACIONES,10102010213,0.00
"",FACTURAS COMERCIALES NEGOCIABLES,10102010214,0.00
"",OVERNIGHTS,10102010215,0.00
"",OBLIGACIONES CONVERTIBLES EN ACCIONES,10102010216,0.00
"",PAPEL COMERCIAL,10102010217,0.00
"",PAGARÉS,10102010218,0.00
"",PÓLIZAS DE ACUMULACIÓN,10102010219,0.00
"",TÍTULOS DEL BANCO CENTRAL,10102010220,0.00
"",VALORES DE TITULARIZACIÓN,10102010221,0.00
"",INVERSIONES EN EL EXTERIOR,10102010222,0.00
"",OTROS,10102010223,0.00
"",DERIVADOS,101020103,0.00
"",FORWARD,10102010301,0.00
"",FUTUROS,10102010302,0.00
"",OPCIONES,10102010303,0.00
"",OTROS,10102010304,0.00
"",ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL,1010202,0.00
"",RENTA VARIABLE,101020201,0.00
"",ACCIONES Y PARTICIPACIONES,10102020101,0.00
CUOTAS DE FONDOS COLECTIVOS,10102020102,0.00,
"",ESTADO DE SITUACIÓN FINANCIERA,,
"",CUENTA,CÓDIGO,VALOR (En USD$)
"",UNIDADES DE PARTICIPACIÓN,10102020103,0.00
"",VALORES DE  TITULARIZACIÓN DE PARTICIPACIÓN,10102020104,0.00
"",INVERSIONES EN EL EXTERIOR,10102020105,0.00
"",OTROS,10102020106,0.00
"",RENTA FIJA,101020202,0.00
"",AVALES,10102020201,0.00
"",BONOS DEL ESTADO,10102020202,0.00
"",BONOS DE PRENDA,10102020203,0.00
"",CÉDULAS HIPOTECARIAS,10102020204,0.00
"",CERTIFICADOS FINANCIEROS,10102020205,0.00
"",CERTIFICADOS DE INVERSIÓN,10102020206,0.00
"",CERTIFICADOS DE TESORERÍA,10102020207,0.00
"",CERTIFICADOS DE DEPÓSITO,10102020208,0.00
"",CUPONES,10102020209,0.00
"",DEPÓSITOS A PLAZO,10102020210,0.00
"",LETRAS DE CAMBIO,10102020211,0.00
"",NOTAS DE CRÉDITO,10102020212,0.00
"",OBLIGACIONES,10102020213,0.00
"",FACTURAS COMERCIALES NEGOCIABLES,10102020214,0.00
"",OVERNIGHTS,10102020215,0.00
"",OBLIGACIONES CONVERTIBLES EN ACCIONES,10102020216,0.00
"",PAPEL COMERCIAL,10102020217,0.00
"",PAGARÉS,10102020218,0.00
"",PÓLIZAS DE ACUMULACIÓN,10102020219,0.00
"",TÍTULOS DEL BANCO CENTRAL,10102020220,0.00
"",VALORES DE TITULARIZACIÓN,10102020221,0.00
"",INVERSIONES EN EL EXTERIOR,10102020222,0.00
"",OTROS,10102020223,0.00
"",ACTIVOS FINANCIEROS AL COSTO AMORTIZADO,1010203,0.00
"",RENTA FIJA,101020302,0.00
"",AVALES,10102030201,0.00
"",BONOS DEL ESTADO,10102030202,0.00
"",BONOS DE PRENDA,10102030203,0.00
"",CÉDULAS HIPOTECARIAS,10102030204,0.00
"",CERTIFICADOS FINANCIEROS,10102030205,0.00
"",CERTIFICADOS DE INVERSIÓN,10102030206,0.00
"",CERTIFICADOS DE TESORERÍA,10102030207,0.00
"",CERTIFICADOS DE DEPÓSITO,10102030208,0.00
"",CUPONES,10102030209,0.00
"",DEPÓSITOS A PLAZO,10102030210,0.00
"",LETRAS DE CAMBIO,10102030211,0.00
"",NOTAS DE CRÉDITO,10102030212,0.00
"",OBLIGACIONES,10102030213,0.00
"",FACTURAS COMERCIALES NEGOCIABLES,10102030214,0.00
"",OVERNIGHTS,10102030215,0.00
"",OBLIGACIONES CONVERTIBLES EN ACCIONES,10102030216,0.00
"",PAPEL COMERCIAL,10102030217,0.00
"",PAGARÉS,10102030218,0.00
"",PÓLIZAS DE ACUMULACIÓN,10102030219,0.00
"",TÍTULOS DEL BANCO CENTRAL,10102030220,0.00
"",VALORES DE TITULARIZACIÓN,10102030221,0.00
"",INVERSIONES EN EL EXTERIOR,10102030222,0.00
"",OTROS,10102030223,0.00
"",PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS,1010204,0.00
"",ESTADO DE SITUACIÓN FINANCIERA,,
"",CUENTA,CÓDIGO,VALOR (En USD$)
"",ACTIVOS FINANCIEROS AL COSTO AMORTIZADO,101020402,0.00
"",ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL,101020403,0.00
"",DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR NO RELACIONADOS,1010205,124186615.77
"",DE ACTIVIDADES ORDINARIAS QUE GENEREN INTERESES,101020501,0.00
"",CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,10102050101,0.00
"",CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,10102050102,0.00
"",DE ACTIVIDADES ORDINARIAS QUE NO GENEREN INTERESES,101020502,124186615.77
"",CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,10102050201,124186615.77
"",CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,10102050202,0.00
"",CUENTAS POR COBRAR AL ORIGINADOR,10102050203,0.00
"",COMISIONES POR OPERACIONES  BURSÁTILES,10102050204,0.00
"",CONTRATO DE UNDERWRITING,10102050207,0.00
"",POR  ADMINISTRACIÓN Y MANEJO DE PORTAFOLIOS DE TERCEROS,10102050208,0.00
"",POR ADMINISTRACIÓN Y MANEJO DE FONDOS ADMINISTRADOS,10102050209,0.00
"",POR ADMINISTRACIÓN Y MANEJO DE NEGOCIOS FIDUCIARIOS,10102050210,0.00
"",POR CUSTODIA Y CONSERVACIÓN DE VALORES MATERIALIZADOS,10102050211,0.00
"",POR CUSTODIA Y CONSERVACIÓN DE VALORES DESMATERIALIZADOS,10102050212,0.00
"",POR MANEJO DE LIBRO DE ACCIONES Y ACCIONISTAS,10102050213,0.00
"",POR ASESORÍA,10102050214,0.00
"",DIVIDENDOS POR COBRAR,10102050215,0.00
"",INTERESES POR COBRAR,10102050216,0.00
"",DEUDORES POR INTERMEDIACIÓN DE VALORES,10102050217,0.00
"",ANTICIPO A COMITENTES,10102050218,0.00
"",ANTICIPO A CONSTRUCTOR POR AVANCE DE OBRA,10102050219,0.00
"",DERECHOS POR COMPROMISO DE RECOMPRA,10102050220,0.00
"",OTRAS CUENTAS POR COBRAR NO RELACIONADAS,10102050221,0.00
"",DOCUMENTOS Y CUENTAS POR COBRAR RELACIONADOS,1010206,17459235.21
"",POR COBRAR A ACCIONISTAS,101020601,0.00
"",POR COBRAR A COMPAÑÍAS RELACIONADAS,101020602,8869213.19
"",POR COBRAR A CLIENTES,101020603,2358801.89
